I Didn't Mean To,Fear Itself,Casual,0,218.93179000000001,971,92.197999999999993
Soul Deep,Dimensions,The Box Tops,1969,148.03546,550,121.274
Amor De Cabaret,Las Numero 1 De La Sonora Santanera,Sonora Santanera,0,177.47546,562,100.06999999999999
Something Girls,Friend Or Foe,Adam Ant,1982,233.40362999999999,821,119.29300000000001
Face the Ashes,Muertos Vivos,Gob,2007,209.60607999999999,673,129.738
The Moon And I (Ordinary Day Album Version),Ordinary Day,Jeff And Sheri Easter,0,267.70240000000001,835,147.78200000000001
Keepin It Real (Skit),Da Ghetto Psychic,Rated R,0,114.78158999999999,481,111.78700000000001
Drop of Rain,Gin & Phonic,Tweeterfriendly Music,0,189.57015999999999,588,101.43000000000001
Pink World,Pink World,Planet P Project,1984,269.81832000000003,912,86.643000000000001
Insatiable (Instrumental Version),Superinstrumental,Clp,0,266.39627999999999,1406,114.041
Young Boy Blues,I Need You,JennyAnyKind,0,218.77506,699,146.76499999999999
The Urgency (LP Version),The Way Home,Wayne Watson,0,245.21098000000001,793,117.97499999999999
La Culpa,Placer & Castigo,Andy Andy,0,226.35057,971,130.03999999999999
Auguri Cha Cha,Arrivederci,Bob Azzam,0,191.84280999999999,720,137.334
Tonight Will Be Alright,Dancing On The Ceiling,Lionel Richie,1986,307.38240000000002,1063,125.197
Floating,Outskirts,Blue Rodeo,1987,491.12770999999998,1628,119.82599999999999
High Tide,Cross Currents,Richard Souther,0,228.59710000000001,946,127.756
Sohna Nee Sohna Data,Panjtan Ka Ghulam,Faiz Ali Faiz,0,599.24852999999996,3347,99.272999999999996
Caught In A Dream,Gold,Tesla,2004,290.29831999999999,832,150.06200000000001
Synthetic Dream,Whatever Happened To Boredom?,lextrical,0,165.69424000000001,600,138.33099999999999
Broken-Down Merry-Go-Round,1942-1952 Jimmy Wakely,Jimmy Wakely,0,151.84934000000001,427,86.186000000000007
Kassie Jones,All The Good Times,Alice Stuart,0,220.78648999999999,828,110.38200000000001
Setanta matins,Un cafe_ setanta matins,Elena,0,269.58321999999998,605,111.874
Setting Fire to Sleeping Giants,Miss Machine,The Dillinger Escape Plan,2004,207.77751000000001,719,166.86199999999999
James (Hold The Ladder Steady),Sue Thompson - Her Very Best,SUE THOMPSON,1985,124.86485,535,137.52199999999999
Made Like This (Live),Live,Five Bolt Main,0,225.09669,640,164.672
Superconfidential,Strictly Confidential,Clp,0,338.31137999999999,1815,125.006
I Think My Wife Is Running Around On Me (Taco Hell),The Real Twang Thang,Tim Wilson,2005,186.48770999999999,662,90.022000000000006
Spanish Grease,Willie Bobo's Finest Hour,Willie Bobo,1997,168.25424000000001,552,127.02500000000001
Crazy Mixed Up World,Shake A Hand,Faye Adams,1961,156.39465000000001,434,95.956999999999994
Do You Finally Need A Friend,Occasional Rain,Terry Callier,1972,342.56934000000001,897,110.18899999999999
The Emperor Falls,The Emperor Falls,John Wesley,0,484.62322,1565,138.00700000000001
Twist and Shout,Best of The Shangri-Las,The Shangri-Las,1964,164.80608000000001,594,130.09999999999999
It Makes No Difference Now,20 Of Her Best,Billie Jo Spears,1992,133.32853,492,160.839
